                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.09258,                 0.7883,                0.16717,                0.13047,                0.88333,                0.99946,                      1,                  0.995,                  0.995,                0.99946,                      1,                  0.995,                0.89171,                0.07406,                0.59058,                0.06481,                0.10028,                0.13029,               0.003466,               0.003466,               0.003466
                     35,                0.10123,                0.73114,                0.16128,                0.14002,                0.88234,                0.99944,                      1,                  0.995,                  0.995,                0.99944,                      1,                  0.995,                0.87313,                0.07344,                0.62911,                0.05343,                0.11429,                0.12574,               0.003268,               0.003268,               0.003268
                     36,                0.09589,                0.71142,                0.16372,                0.13886,                0.87334,                0.99945,                      1,                  0.995,                  0.995,                0.99945,                      1,                  0.995,                0.88074,                0.08378,                0.56514,                 0.0514,                0.11947,                 0.1318,                0.00307,                0.00307,                0.00307
                     37,                0.09441,                0.68554,                0.15884,                0.13701,                0.88173,                0.99946,                      1,                  0.995,                  0.995,                0.99946,                      1,                  0.995,                0.85807,                 0.1066,                0.62369,                0.05139,                0.14938,                0.16127,               0.002872,               0.002872,               0.002872
                     38,                 0.0911,                0.70046,                 0.1598,                0.13232,                0.88364,                0.99946,                      1,                  0.995,                  0.995,                0.99946,                      1,                  0.995,                0.86345,                0.10651,                0.58114,                 0.0578,                0.15197,                0.16567,               0.002674,               0.002674,               0.002674
                     39,                0.08402,                0.75555,                 0.1657,                0.12799,                0.88703,                0.99946,                      1,                  0.995,                  0.995,                0.99946,                      1,                  0.995,                0.87781,                0.09696,                0.59272,                0.05028,                 0.1501,                0.15995,               0.002476,               0.002476,               0.002476
                     40,                0.08486,                0.70094,                0.15822,                0.12979,                0.89125,                0.99946,                      1,                  0.995,                  0.995,                0.99946,                      1,                  0.995,                0.89806,                0.09594,                0.53471,                0.04499,                0.12962,                0.15262,               0.002278,               0.002278,               0.002278
                     41,                0.07999,                0.67527,                0.16431,                0.12282,                0.88063,                0.99945,                      1,                  0.995,                  0.995,                0.99945,                      1,                  0.995,                0.89194,                0.08304,                0.56515,                0.04792,                0.11463,                0.13173,                0.00208,                0.00208,                0.00208
                     42,                0.07547,                 0.6945,                0.15843,                0.11783,                0.88049,                0.99946,                      1,                  0.995,                  0.995,                0.99946,                      1,                  0.995,                0.90026,                0.08933,                0.50501,                0.05375,                0.12413,                0.13767,               0.001882,               0.001882,               0.001882
                     43,                0.07731,                0.64406,                0.15871,                0.12267,                0.87392,                0.99945,                      1,                  0.995,                  0.995,                0.99945,                      1,                  0.995,                0.89106,                0.09539,                0.51876,                0.04644,                0.12952,                0.14688,               0.001684,               0.001684,               0.001684
                     44,                0.07543,                0.62714,                0.15579,                0.12079,                0.88198,                0.99945,                      1,                  0.995,                  0.995,                0.99945,                      1,                  0.995,                0.89324,                0.10038,                0.52653,                0.04506,                0.13775,                 0.1522,               0.001486,               0.001486,               0.001486
                     45,                0.07009,                0.62093,                0.15303,                0.11872,                0.87623,                0.99945,                      1,                  0.995,                  0.995,                0.99945,                      1,                  0.995,                0.89236,                0.10331,                  0.502,                 0.0414,                0.13395,                0.15672,               0.001288,               0.001288,               0.001288
                     46,                0.06921,                0.66365,                0.15845,                0.11348,                0.88577,                0.99945,                      1,                  0.995,                  0.995,                0.99945,                      1,                  0.995,                0.89355,                0.10739,                0.47752,                0.04277,                0.13461,                0.16017,                0.00109,                0.00109,                0.00109
                     47,                0.06638,                0.61911,                0.15098,                0.10952,                0.87494,                0.99945,                      1,                  0.995,                  0.995,                0.99945,                      1,                  0.995,                0.90074,                0.11019,                0.49521,                0.04837,                0.14163,                0.16216,               0.000892,               0.000892,               0.000892
                     48,                 0.0652,                0.56599,                0.14557,                 0.1058,                0.87641,                0.99946,                      1,                  0.995,                  0.995,                0.99946,                      1,                  0.995,                0.90742,                0.11014,                0.47449,                0.04307,                0.14415,                 0.1648,               0.000694,               0.000694,               0.000694
                     49,                0.06147,                0.63101,                0.15823,                0.10388,                0.87139,                0.99945,                      1,                  0.995,                  0.995,                0.99945,                      1,                  0.995,                0.90815,                0.10773,                  0.479,                0.03871,                0.13789,                0.16437,               0.000496,               0.000496,               0.000496
